id,full_name,first_name,last_name,is_active,GP_TOTAL,MIN_PG,AST_PCT_percentile,DREB_PCT_percentile,OREB_PCT_percentile,TOV_PCT_percentile,Midrange_volume_pm_percentile,Midrange_efficiency_percentile,Paint_volume_pm_percentile,Paint_efficiency_percentile,Corner_volume_pm_percentile,Corner_efficiency_percentile,Above_the_break_volume_pm_percentile,Above_the_break_efficiency_percentile,Tight_volume_pm_percentile,Tight_efficiency_percentile,Open_volume_pm_percentile,Open_efficiency_percentile,Paint_defense_volume_pm_percentile,Paint_defense_deterance_percentile,Perimeter_defense_volume_pm_percentile,Perimeter_defense_deterance_percentile,Catch_and_Shoot_Volume_percentile,Catch_and_Shoot_Efficiency_percentile,Pull_up_Volume_percentile,Pull_up_Efficiency_percentile
1630173,Precious Achiuwa,Precious,Achiuwa,True,74,21.945945945945947,0.2767175572519084,0.8129770992366412,0.948473282442748,0.8778625954198473,0.2213740458015267,0.0534351145038167,0.6870229007633588,0.5763358778625954,0.3702290076335878,0.2061068702290076,0.1335877862595419,0.0954198473282442,0.5610687022900763,0.7061068702290076,0.1145038167938931,0.0572519083969465,0.8854961832061069,0.7614503816793893,0.8625954198473282,0.2690839694656488,0.1068702290076335,0.0687022900763358,0.1374045801526717,0.0572519083969465
1628389,Bam Adebayo,Bam,Adebayo,True,71,34.014084507042256,0.4713740458015267,0.9561068702290076,0.7900763358778626,0.6374045801526718,0.8587786259541985,0.2538167938931298,0.9580152671755724,0.5,0.0877862595419847,0.7156488549618321,0.0954198473282442,0.3874045801526717,0.8053435114503816,0.5992366412213741,0.4122137404580153,0.1374045801526717,0.5114503816793893,0.8492366412213741,0.5954198473282443,0.7137404580152672,0.3129770992366412,0.1183206106870229,0.7022900763358778,0.3549618320610687
1630534,Ochai Agbaji,Ochai,Agbaji,True,78,21.012820512820515,0.2576335877862595,0.1278625954198473,0.6354961832061069,0.7595419847328244,0.1908396946564885,0.4026717557251908,0.2671755725190839,0.2671755725190839,0.8129770992366412,0.4541984732824427,0.3206106870229007,0.0877862595419847,0.2022900763358778,0.183206106870229,0.2519083969465648,0.0839694656488549,0.6412213740458015,0.8492366412213741,0.7633587786259542,0.700381679389313,0.1335877862595419,0.049618320610687,0.1297709923664122,0.2671755725190839
1630583,Santi Aldama,Santi,Aldama,True,61,26.57377049180328,0.4637404580152672,0.7881679389312977,0.6106870229007634,0.3702290076335878,0.3587786259541984,0.1622137404580152,0.3740458015267175,0.4083969465648855,0.7748091603053435,0.183206106870229,0.6526717557251909,0.6297709923664122,0.2519083969465648,0.4541984732824427,0.7480916030534351,0.2366412213740458,0.7977099236641222,0.9274809160305344,0.7480916030534351,0.1049618320610687,0.8778625954198473,0.4083969465648855,0.416030534351145,0.2137404580152671
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,82,23.47560975609756,0.7824427480916031,0.0419847328244274,0.2270992366412213,0.4618320610687023,0.3702290076335878,0.5534351145038168,0.099236641221374,0.3110687022900763,0.9885496183206108,0.8053435114503816,0.416030534351145,0.3874045801526717,0.1068702290076335,0.2748091603053435,0.549618320610687,0.6145038167938931,0.416030534351145,0.931297709923664,0.3053435114503817,0.7347328244274809,0.732824427480916,0.8187022900763359,0.5229007633587787,0.3912213740458015
1628960,Grayson Allen,Grayson,Allen,True,75,33.50666666666667,0.6717557251908397,0.2290076335877862,0.2538167938931298,0.4503816793893129,0.0610687022900763,0.0744274809160305,0.1145038167938931,0.6259541984732825,0.732824427480916,0.9198473282442748,0.6068702290076335,0.9847328244274808,0.0458015267175572,0.5610687022900763,0.5190839694656488,0.9427480916030534,0.6755725190839694,0.4694656488549618,0.7862595419847328,0.9198473282442748,0.7786259541984732,0.9770992366412212,0.3625954198473282,0.9694656488549618
1628386,Jarrett Allen,Jarrett,Allen,True,77,31.7012987012987,0.4312977099236641,0.9351145038167938,0.9236641221374046,0.5419847328244275,0.4541984732824427,0.8110687022900763,0.9465648854961832,0.900763358778626,0.0534351145038167,0.0362595419847328,0.0648854961832061,0.0343511450381679,0.8358778625954199,0.9465648854961832,0.0954198473282442,0.851145038167939,0.9236641221374046,0.8282442748091603,0.4541984732824427,0.2938931297709923,0.1183206106870229,0.2843511450381679,0.0763358778625954,0.0610687022900763
1630631,Jose Alvarado,Jose,Alvarado,True,56,18.375,0.7366412213740458,0.2652671755725191,0.3473282442748092,0.2099236641221374,0.232824427480916,0.349236641221374,0.2404580152671755,0.0305343511450381,0.7709923664122137,0.9255725190839694,0.732824427480916,0.3435114503816794,0.1564885496183206,0.0458015267175572,0.7290076335877863,0.3816793893129771,0.0458015267175572,0.4694656488549618,0.7099236641221374,0.4790076335877862,0.8549618320610687,0.5343511450381679,0.5267175572519084,0.4751908396946565
203937,Kyle Anderson,Kyle,Anderson,True,79,22.518987341772156,0.9732824427480916,0.4751908396946565,0.5209923664122137,0.6335877862595419,0.3854961832061068,0.9580152671755724,0.5992366412213741,0.0458015267175572,0.2366412213740458,0.1717557251908397,0.0763358778625954,0.0725190839694656,0.465648854961832,0.1030534351145038,0.0877862595419847,0.1717557251908397,0.4770992366412214,0.5057251908396947,0.5267175572519084,0.8416030534351145,0.1106870229007633,0.1240458015267175,0.4389312977099237,0.4103053435114503
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,73,35.24657534246575,0.5992366412213741,0.9465648854961832,0.8301526717557252,0.7099236641221374,0.7977099236641222,0.2881679389312977,0.9961832061068704,0.9732824427480916,0.0648854961832061,0.0362595419847328,0.183206106870229,0.1526717557251908,0.9961832061068704,0.9770992366412212,0.4198473282442748,0.3148854961832061,0.3435114503816794,0.916030534351145,0.3129770992366412,0.2938931297709923,0.0725190839694656,0.1068702290076335,0.7099236641221374,0.2061068702290076
