id,full_name,first_name,last_name,is_active,GP_TOTAL,MIN_PG,AST_PCT_percentile,DREB_PCT_percentile,OREB_PCT_percentile,TOV_PCT_percentile,Midrange_volume_pm_percentile,Midrange_efficiency_percentile,Paint_volume_pm_percentile,Paint_efficiency_percentile,Corner_volume_pm_percentile,Corner_efficiency_percentile,Above_the_break_volume_pm_percentile,Above_the_break_efficiency_percentile,Tight_volume_pm_percentile,Tight_efficiency_percentile,Open_volume_pm_percentile,Open_efficiency_percentile,Catch_and_Shoot_Volume_percentile,Catch_and_Shoot_Efficiency_percentile,Pull_up_Volume_percentile,Pull_up_Efficiency_percentile,Paint_defense_volume_pm_percentile,Paint_defense_deterance_percentile,Perimeter_defense_volume_pm_percentile,Perimeter_defense_deterance_percentile
2544,LeBron James,LeBron,James,True,56,37.23,0.599250936329588,0.8202247191011236,0.5149812734082397,0.651685393258427,0.8726591760299626,0.6966292134831461,0.9176029962546817,0.947565543071161,0.2397003745318352,0.24344569288389514,0.9176029962546817,0.6610486891385767,0.8764044943820225,0.9588014981273408,0.9925093632958801,0.4232209737827715,0.42696629213483145,0.5468164794007491,0.8576779026217228,0.7191011235955056,0.3146067415730337,0.9194756554307116,0.23220973782771537,0.8164794007490637
2546,Carmelo Anthony,Carmelo,Anthony,False,69,26.09,0.031835205992509365,0.46629213483146065,0.5767790262172284,0.10112359550561797,0.9213483146067416,0.9026217228464419,0.10861423220973783,0.49063670411985016,0.6441947565543071,0.8071161048689138,0.8614232209737828,0.6423220973782772,0.6704119850187266,0.3707865168539326,0.5955056179775281,0.7865168539325843,0.9588014981273408,0.6123595505617978,0.7191011235955056,0.8726591760299626,0.5543071161048689,0.45880149812734083,0.449438202247191,0.8202247191011236
2730,Dwight Howard,Dwight,Howard,False,60,16.15,0.07865168539325842,0.9400749063670412,0.9625468164794008,0.9138576779026217,0.07865168539325842,0.020599250936329586,0.6966292134831461,0.8576779026217228,0.07865168539325842,0.99812734082397,0.09363295880149813,0.9925093632958801,0.5655430711610487,0.8913857677902621,0.04868913857677903,0.9588014981273408,0.06741573033707865,0.7303370786516854,0.04119850187265917,0.848314606741573,0.8689138576779026,0.13670411985018727,0.7940074906367042,0.20973782771535582
101108,Chris Paul,Chris,Paul,True,65,32.92,1.0,0.398876404494382,0.05056179775280899,0.4419475655430712,0.9737827715355806,0.9438202247191011,0.23220973782771537,0.7415730337078652,0.13108614232209737,0.21910112359550563,0.3595505617977528,0.3970037453183521,0.14232209737827714,0.3445692883895131,0.7490636704119851,0.5056179775280899,0.0749063670411985,0.6853932584269663,0.9700374531835206,0.8913857677902621,0.0449438202247191,0.26779026217228463,0.11235955056179775,0.5074906367041199
200752,Rudy Gay,Rudy,Gay,False,55,18.85,0.14794007490636704,0.7340823970037453,0.7078651685393258,0.43820224719101125,0.704119850187266,0.7340823970037453,0.25842696629213485,0.2397003745318352,0.8352059925093633,0.5037453183520599,0.6853932584269663,0.48314606741573035,0.4157303370786517,0.25842696629213485,0.602996254681648,0.34831460674157305,0.8576779026217228,0.40823970037453183,0.6104868913857678,0.3970037453183521,0.4681647940074906,0.8539325842696629,0.6217228464419475,0.18726591760299627
200768,Kyle Lowry,Kyle,Lowry,True,63,33.79,0.9812734082397003,0.43258426966292135,0.17790262172284643,0.9026217228464419,0.5805243445692884,0.7471910112359551,0.08614232209737828,0.6966292134831461,0.3857677902621723,0.7752808988764045,0.7303370786516854,0.7247191011235955,0.09737827715355805,0.6217228464419475,0.5655430711610487,0.5767790262172284,0.36704119850187267,0.5580524344569289,0.7490636704119851,0.9269662921348315,0.20599250936329588,0.13670411985018727,0.4943820224719101,0.09550561797752809
200782,P.J. Tucker,P.J.,Tucker,True,71,27.96,0.7752808988764045,0.6329588014981273,0.7209737827715356,0.5917602996254682,0.23220973782771537,0.49063670411985016,0.1947565543071161,0.5056179775280899,0.9662921348314607,0.7340823970037453,0.07865168539325842,0.9887640449438202,0.0749063670411985,0.4419475655430712,0.20599250936329588,0.8614232209737828,0.449438202247191,0.7865168539325843,0.15355805243445692,0.5973782771535581,0.24344569288389514,0.48314606741573035,0.9288389513108615,0.7378277153558053
201142,Kevin Durant,Kevin,Durant,True,55,37.22,0.6722846441947565,0.7471910112359551,0.14232209737827714,0.6779026217228464,0.9887640449438202,0.9850187265917603,0.6666666666666666,0.6217228464419475,0.15355805243445692,0.9775280898876404,0.6741573033707865,0.6985018726591761,1.0,0.550561797752809,0.3408239700374532,0.9625468164794008,0.5430711610486891,0.7677902621722846,0.9850187265917603,0.9344569288389513,0.23595505617977527,0.8932584269662921,0.7790262172284644,0.6123595505617978
201143,Al Horford,Al,Horford,True,69,29.07,0.8576779026217228,0.8726591760299626,0.7340823970037453,0.15730337078651685,0.44569288389513106,0.5037453183520599,0.2846441947565543,0.8352059925093633,0.5842696629213483,0.651685393258427,0.40074906367041196,0.301498127340824,0.1797752808988764,0.797752808988764,0.38202247191011235,0.3782771535580524,0.7303370786516854,0.3445692883895131,0.12359550561797752,0.9812734082397003,0.7790262172284644,0.9737827715355806,0.9550561797752809,0.45692883895131087
201144,Mike Conley,Mike,Conley,True,72,28.53,0.9288389513108615,0.0898876404494382,0.3801498127340824,0.41947565543071164,0.3295880149812734,0.350187265917603,0.4606741573033708,0.08614232209737828,0.47191011235955055,0.5823970037453183,0.8127340823970037,0.947565543071161,0.3707865168539326,0.40074906367041196,0.7790262172284644,0.5917602996254682,0.20599250936329588,0.897003745318352,0.850187265917603,0.9550561797752809,0.17228464419475656,0.5692883895131086,0.31835205992509363,0.4288389513108614
