id,full_name,first_name,last_name,is_active,GP_TOTAL,MIN_PG,team_id,AST_PCT_percentile,DREB_PCT_percentile,OREB_PCT_percentile,TOV_PCT_percentile,Midrange_volume_pm_percentile,Midrange_efficiency_percentile,Paint_volume_pm_percentile,Paint_efficiency_percentile,Corner_volume_pm_percentile,Corner_efficiency_percentile,Above_the_break_volume_pm_percentile,Above_the_break_efficiency_percentile,Tight_volume_pm_percentile,Tight_efficiency_percentile,Open_volume_pm_percentile,Open_efficiency_percentile,Paint_defense_volume_pm_percentile,Paint_defense_deterance_percentile,Perimeter_defense_volume_pm_percentile,Perimeter_defense_deterance_percentile,Catch_and_Shoot_Volume_percentile,Catch_and_Shoot_Efficiency_percentile,Pull_up_Volume_percentile,Pull_up_Efficiency_percentile,Height,Weight
1630173,Precious Achiuwa,Precious,Achiuwa,True,74,21.945945945945947,1610612752,0.2767175572519084,0.8129770992366412,0.9484732824427481,0.8778625954198473,0.22137404580152673,0.05343511450381679,0.6870229007633588,0.5763358778625954,0.3702290076335878,0.20610687022900764,0.13358778625954199,0.09541984732824428,0.5610687022900763,0.7061068702290076,0.11450381679389313,0.05725190839694656,0.8854961832061069,0.7614503816793893,0.8625954198473282,0.26908396946564883,0.10687022900763359,0.06870229007633588,0.13740458015267176,0.05725190839694656,80,243
1628389,Bam Adebayo,Bam,Adebayo,True,71,34.014084507042256,1610612748,0.4713740458015267,0.9561068702290076,0.7900763358778626,0.6374045801526718,0.8587786259541985,0.2538167938931298,0.9580152671755725,0.5,0.08778625954198473,0.7156488549618321,0.09541984732824428,0.38740458015267176,0.8053435114503816,0.5992366412213741,0.4122137404580153,0.13740458015267176,0.5114503816793893,0.8492366412213741,0.5954198473282443,0.7137404580152672,0.31297709923664124,0.1183206106870229,0.7022900763358778,0.3549618320610687,81,255
1630534,Ochai Agbaji,Ochai,Agbaji,True,78,21.012820512820515,1610612761,0.25763358778625955,0.12786259541984732,0.6354961832061069,0.7595419847328244,0.19083969465648856,0.4026717557251908,0.26717557251908397,0.26717557251908397,0.8129770992366412,0.4541984732824427,0.32061068702290074,0.08778625954198473,0.20229007633587787,0.183206106870229,0.25190839694656486,0.08396946564885496,0.6412213740458015,0.8492366412213741,0.7633587786259542,0.700381679389313,0.13358778625954199,0.04961832061068702,0.1297709923664122,0.26717557251908397,77,215
1630583,Santi Aldama,Santi,Aldama,True,61,26.57377049180328,1610612763,0.4637404580152672,0.7881679389312977,0.6106870229007634,0.3702290076335878,0.35877862595419846,0.16221374045801526,0.37404580152671757,0.4083969465648855,0.7748091603053435,0.183206106870229,0.6526717557251909,0.6297709923664122,0.25190839694656486,0.4541984732824427,0.7480916030534351,0.2366412213740458,0.7977099236641222,0.9274809160305344,0.7480916030534351,0.1049618320610687,0.8778625954198473,0.4083969465648855,0.41603053435114506,0.21374045801526717,84,215
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,82,23.475609756097562,1610612750,0.7824427480916031,0.04198473282442748,0.22709923664122136,0.4618320610687023,0.3702290076335878,0.5534351145038168,0.09923664122137404,0.3110687022900763,0.9885496183206107,0.8053435114503816,0.41603053435114506,0.38740458015267176,0.10687022900763359,0.2748091603053435,0.549618320610687,0.6145038167938931,0.41603053435114506,0.9312977099236641,0.3053435114503817,0.7347328244274809,0.732824427480916,0.8187022900763359,0.5229007633587787,0.39122137404580154,77,205
1628960,Grayson Allen,Grayson,Allen,True,75,33.50666666666667,1610612756,0.6717557251908397,0.22900763358778625,0.2538167938931298,0.45038167938931295,0.061068702290076333,0.07442748091603053,0.11450381679389313,0.6259541984732825,0.732824427480916,0.9198473282442748,0.6068702290076335,0.9847328244274809,0.04580152671755725,0.5610687022900763,0.5190839694656488,0.9427480916030534,0.6755725190839694,0.46946564885496184,0.7862595419847328,0.9198473282442748,0.7786259541984732,0.9770992366412213,0.36259541984732824,0.9694656488549618,76,198
1628386,Jarrett Allen,Jarrett,Allen,True,77,31.7012987012987,1610612739,0.4312977099236641,0.9351145038167938,0.9236641221374046,0.5419847328244275,0.4541984732824427,0.8110687022900763,0.9465648854961832,0.9007633587786259,0.05343511450381679,0.03625954198473282,0.0648854961832061,0.03435114503816794,0.8358778625954199,0.9465648854961832,0.09541984732824428,0.851145038167939,0.9236641221374046,0.8282442748091603,0.4541984732824427,0.29389312977099236,0.1183206106870229,0.28435114503816794,0.07633587786259542,0.061068702290076333,81,243
1630631,Jose Alvarado,Jose,Alvarado,True,56,18.375,1610612740,0.7366412213740458,0.2652671755725191,0.3473282442748092,0.2099236641221374,0.23282442748091603,0.34923664122137404,0.24045801526717558,0.030534351145038167,0.7709923664122137,0.9255725190839694,0.732824427480916,0.3435114503816794,0.15648854961832062,0.04580152671755725,0.7290076335877863,0.3816793893129771,0.04580152671755725,0.46946564885496184,0.7099236641221374,0.47900763358778625,0.8549618320610687,0.5343511450381679,0.5267175572519084,0.4751908396946565,72,179
203937,Kyle Anderson,Kyle,Anderson,True,79,22.518987341772153,1610612750,0.9732824427480916,0.4751908396946565,0.5209923664122137,0.6335877862595419,0.38549618320610685,0.9580152671755725,0.5992366412213741,0.04580152671755725,0.2366412213740458,0.1717557251908397,0.07633587786259542,0.07251908396946564,0.46564885496183206,0.10305343511450382,0.08778625954198473,0.1717557251908397,0.4770992366412214,0.5057251908396947,0.5267175572519084,0.8416030534351145,0.11068702290076336,0.12404580152671756,0.4389312977099237,0.41030534351145037,81,230
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,73,35.24657534246575,1610612749,0.5992366412213741,0.9465648854961832,0.8301526717557252,0.7099236641221374,0.7977099236641222,0.2881679389312977,0.9961832061068703,0.9732824427480916,0.0648854961832061,0.03625954198473282,0.183206106870229,0.15267175572519084,0.9961832061068703,0.9770992366412213,0.4198473282442748,0.3148854961832061,0.3435114503816794,0.916030534351145,0.31297709923664124,0.29389312977099236,0.07251908396946564,0.10687022900763359,0.7099236641221374,0.20610687022900764,83,243
